dir,spd
160,2
160,1
160,1
160,1
270,1
290,2
340,1
320,1
160,1
110,1
160,1
160,1
320,1
140,1
160,1
140,1
290,1
270,1
290,3
320,1
320,2
200,2
290,1
340,1
270,1
270,1
290,3
290,1
320,1
320,1
160,1
180,1
180,1
160,1
160,1
320,2
160,1
230,1
340,1
320,5
340,2
20,1
180,1
140,1
160,1
200,2
160,1
50,1
20,1
70,1
340,1
140,1
20,2
320,1
20,1
20,2
320,2
70,2
50,1
20,2
70,2
50,1
20,2
340,1
340,2
320,4
320,5
70,1
20,2
20,1
20,2
340,1
50,3
20,2
50,4
360,2
320,2
340,2
320,2
20,2
50,2
360,1
360,1
20,1
20,1
50,1
50,3
50,3
340,2
360,3
20,4
50,4
70,3
50,3
340,1
50,4
340,3
340,2
340,2
340,4
340,1
360,2
20,1
360,1
340,2
340,1
20,1
70,1
320,2
340,2
340,3
340,1
160,2
160,3
110,1
20,1
340,2
340,3
340,3
340,5
340,2
360,2
20,1
50,1
340,1
20,1
20,1
20,2
20,4
340,2
70,1
20,1
360,1
20,1
70,1
50,1
50,3
340,3
20,1
20,3
20,2
50,1
20,1
360,2
360,2
20,2
20,1
140,2
50,3
340,3
20,2
160,1
160,1
160,1
140,1
50,2
160,1
160,1
160,2
160,1
20,3
20,3
20,2
20,1
160,1
160,1
160,1
140,1
140,1
110,1
160,1
20,4
160,1
160,1
160,1
160,1
180,1
160,1
160,1
160,1
90,1
20,2
360,2
360,1
20,2
200,5
160,1
160,1
160,1
160,1
140,1
140,1
160,1
160,1
160,1
160,1
160,4
160,2
110,2
140,3
160,3
160,2
140,2
160,2
110,1
160,1
160,2
290,3
290,2
320,1
140,2
250,1
270,2
250,1
230,1
320,2
270,1
270,3
270,1
270,1
20,1
340,1
290,1
160,1
20,1
20,1
320,1
230,1
180,1
180,1
290,2
160,2
160,4
160,3
160,3
160,1
180,1
160,1
160,3
160,1
160,2
340,1
360,1
50,2
20,3
340,2
360,1
20,3
360,2
360,1
290,3
160,2
20,1
20,1
20,2
20,1
20,1
20,2
20,1
20,1
20,1
20,1
20,1
20,2
20,2
20,2
20,2
20,3
20,4
20,2
20,1
20,2
360,4
20,4
340,1
340,1
20,3
360,3
20,2
20,1
20,3
20,4
20,4
20,2
20,1
20,1
20,1
160,1
160,2
140,1
20,1
360,1
20,4
70,4
50,3
20,2
20,2
20,4
340,2
20,5
360,1
50,4
50,3
320,1
70,4
340,3
360,2
360,1
360,2
340,1
20,1
20,3
20,1
20,2
20,1
20,3
50,4
50,4
50,3
360,3
340,2
360,1
20,2
20,1
20,1
20,1
20,3
20,1
20,1
20,2
340,1
340,1
20,4
20,4
20,5
360,3
340,2
340,1
20,3
360,3
20,3
360,2
20,1
20,1
20,3
20,1
20,1
160,1
160,1
140,2
160,3
110,2
160,2
160,1
140,1
160,3
140,1
140,1
200,2
180,6
160,4
160,1
340,1
20,1
70,1
160,3
160,4
160,4
160,3
20,4
20,4
340,1
50,3
140,1
160,7
140,7
140,2
160,1
160,5
140,5
160,6
160,5
20,2
20,1
20,1
20,1
20,3
20,1
20,1
20,1
20,2
20,1
140,1
160,4
160,4
180,3
20,1
20,1
140,4
140,6
160,6
50,1
20,1
20,2
20,1
50,2
20,3
50,1
160,2
20,3
20,2
160,1
140,1
160,2
180,3
160,6
140,5
160,2
160,1
160,3
140,4
160,3
160,5
160,6
160,3
200,3
140,6
180,6
200,5
180,5
160,3
160,6
160,4
160,6
160,3
70,1
180,1
160,4
70,1
160,1
200,1
160,5
160,4
160,1
20,1
70,1
160,3
160,3
340,1
320,1
230,1
200,2
160,1
160,1
160,3
200,5
180,5
160,4
160,6
160,4
160,5
160,2
160,3
180,2
160,1
160,3
340,2
340,2
320,3
290,4
290,1
290,2
320,3
270,1
250,1
180,1
200,3
200,2
180,2
160,3
140,1
140,1
230,1
20,2
70,1
50,1
290,1
290,1
50,2
20,3
20,1
140,2
160,3
140,1
160,1
110,1
360,1
20,1
20,2
360,2
160,1
230,2
340,2
340,3
290,3
290,5
230,4
200,4
110,1
50,1
140,1
110,1
50,1
70,1
70,2
70,3
340,1
70,2
70,2
70,3
70,3
90,1
50,1
360,2
70,3
50,1
50,4
50,3
50,2
20,3
50,2
70,4
70,5
50,4
340,3
360,2
20,3
360,2
320,2
50,1
50,2
50,3
340,3
70,3
20,3
20,3
50,6
360,4
20,8
320,6
340,3
20,3
20,3
320,1
20,3
50,2
340,1
20,3
340,1
70,3
50,1
70,2
70,2
70,2
50,1
50,2
50,2
70,2
70,2
70,2
50,1
20,1
20,2
50,2
50,1
140,1
50,2
70,1
20,3
340,2
360,2
340,2
340,1
70,3
